State,cases,deaths,CVAC level of concern for vaccination rollout,Percent Hispanic,Percent American Indian Alaska Native,Percent Asian,Percent Black,Percent Native Hawaiian Pacific Islander,Percent White,% Population Hesitant or Strongly Hesitant Towards COVID-19 Vaccine,AREA_SQMI,population,housing units count,households count,population density (pop per sqmi),per capita income,poverty rate,unemployment rate,% adults without hs diploma,% population >65,% population <17,svi socioeconomic ranking,svi household composition and disability ranking,svi minority status and language ranking,svi housing type and transportation ranking,svi overall ranking,% population uninsured,Premature death raw value,Poor or fair health raw value,Poor physical health days raw value,Poor mental health days raw value,Adult smoking raw value,Adult obesity raw value,Physical inactivity raw value,Excessive drinking raw value,Preventable hospital stays raw value,Flu vaccinations raw value,Life expectancy raw value,Ratio of population to primary care physicians.,Food environment index raw value,Food insecurity raw value,Homeownership raw value,Broadband access raw value,Income inequality raw value,Air pollution - particulate matter raw value,Drinking water violations raw value,% Rural raw value,cases per 100k,deaths per 100k,Percent of cases resulting in death,impact_points,impact_category,impact_category_code,state_abbr
MISSOURI,601072,9964.0,0.7023,0.0292,0.0054,0.0072,0.0353,0.001,0.9026,0.24059999999999998,68745,6090062,2775635,2396271,88.59,23987.2,16.63,5.27,13.84,18.89,22.68,0.58,0.62,0.26,0.47,0.5,11.95,8861.0792,0.2191,4.807,4.9692,0.2424,0.3336,0.287,0.1891,4733.1478,0.4087,76.7648,3622.2439,7.2704,0.1419,0.7189,0.7354,4.3117,8.1278,0.3565,0.668,9869,163,1.6577049005776345,17710.9192,1-Average,1.0,MO
MARYLAND,462898,9754.0,0.1704,0.062,0.0018,0.0337,0.1992,0.0003,0.673,0.1163,9710,6003435,2437740,2192518,618.22,36541.67,10.36,5.47,10.28,16.87,21.48,0.28,0.27,0.66,0.45,0.36,5.57,7674.4972,0.1636,3.7235,4.1832,0.1663,0.338,0.2452,0.1719,3817.75,0.5113,78.4768,1780.2978,8.2167,0.1126,0.7094,0.836,4.3173,7.9167,0.1667,0.346,7710,162,2.107159676645827,17953.0004,1-Average,1.0,MD
DISTRICT OF COLUMBIA,49417,1141.0,0.17,0.11,0.002,0.0393,0.4544,0.0004,0.3658,0.1058,61,684498,311545,281322,11196.4,53321.0,16.8,7.4,9.4,11.9,17.8,0.42,0.03,0.92,0.97,0.6,4.0,7955.6616,0.1469,3.2808,4.1653,0.1538,0.24,0.174,0.2345,5032.0,0.41,79.0196,850.4298,8.5,0.116,0.4162,0.8262,7.1542,10.3,1.0,0.0,7219,166,2.3089220308800615,18584.5134,1-Average,1.0,DC
OHIO,1112689,20344.0,0.2241,0.0277,0.0015,0.01,0.0415,0.0003,0.8989,0.2336,40860,11641879,5188270,4654075,284.92,27505.07,14.11,5.49,11.29,17.36,22.62,0.44,0.51,0.3,0.43,0.4,6.93,8600.6089,0.1923,4.4411,5.0388,0.2411,0.3569,0.2865,0.182,4868.2045,0.489,76.8314,2740.5674,7.5989,0.1362,0.7211,0.7871,4.263,8.9239,0.2159,0.4822,9557,174,1.8283635409355175,19064.3466,1-Average,1.0,OH
DELAWARE,109900,1695.0,0.2,0.0873,0.0035,0.0289,0.2049,0.0004,0.6466,0.0942,1948,949495,428251,357765,487.36,32643.33,12.23,5.7,11.23,19.03,21.33,0.35,0.36,0.8,0.61,0.5,6.47,8029.3712,0.1884,4.15,4.4724,0.1905,0.3397,0.2883,0.1983,5079.0,0.5567,78.3166,1620.3991,8.2,0.1137,0.724,0.843,4.2499,7.9667,0.3333,0.2429,11574,178,1.5423111919927206,19223.3667,1-Average,1.0,DE
KANSAS,320070,5190.0,0.4539,0.1012,0.0071,0.0084,0.0184,0.0005,0.8419,0.24470000000000003,81759,2908776,1266378,1124549,35.58,26895.51,12.33,3.73,10.41,19.45,23.78,0.32,0.53,0.42,0.31,0.32,9.14,8319.9932,0.1754,3.8608,4.3799,0.202,0.3506,0.2727,0.1849,4630.5769,0.398,77.5738,1987.3819,7.4202,0.1229,0.7239,0.7682,4.107,6.5346,0.4904,0.6657,11003,178,1.6215202924360295,19284.7408,1-Average,1.0,KS
FLORIDA,2337613,37985.0,0.7239,0.1438,0.0039,0.0158,0.1413,0.0007,0.6739,0.2424,53648,20598139,9348689,7621760,383.95,26438.43,16.59,6.95,14.64,21.22,19.57,0.59,0.46,0.73,0.69,0.66,13.43,8729.8677,0.2198,4.6357,4.9855,0.2212,0.3168,0.302,0.2004,5233.9403,0.4128,78.1069,2889.839,7.2328,0.1394,0.7183,0.7764,4.473,7.5194,0.4627,0.375,11348,184,1.624948184323068,19934.8643,1-Average,1.0,FL
TENNESSEE,855377,12489.0,0.7518,0.0359,0.0029,0.0071,0.0731,0.0005,0.8611,0.2257,41236,6651089,2930530,2567061,161.29,24283.24,17.89,6.68,16.94,18.49,21.54,0.69,0.6,0.36,0.46,0.58,10.27,10326.1194,0.2403,5.2755,5.6389,0.2639,0.3469,0.2993,0.1593,5493.4526,0.4765,74.9326,3285.643,7.4553,0.1442,0.7251,0.7223,4.5734,8.7726,0.1895,0.6644,12860,187,1.460057962746251,20141.4996,1-Average,1.0,TN
OKLAHOMA,459524,7388.0,0.6957,0.0932,0.091,0.0078,0.0339,0.0012,0.7019,0.32889999999999997,68596,3918137,1723230,1474620,57.12,24470.79,17.03,5.54,14.08,17.6,23.98,0.59,0.74,0.62,0.51,0.65,15.34,10260.484,0.2276,4.9661,5.193,0.2372,0.3557,0.3007,0.1477,5338.3247,0.4577,75.2737,3280.6425,6.8584,0.15,0.7158,0.7172,4.5522,7.9857,0.7532,0.6364,11728,188,1.6077506289116563,20366.985,1-Average,1.0,OK
TEXAS,3000308,52656.0,0.8804,0.3518,0.0035,0.0105,0.0611,0.0007,0.5575,0.1998,261257,27885195,10769900,9553046,106.73,25497.25,16.06,5.62,19.48,17.53,24.35,0.6,0.58,0.83,0.56,0.68,17.38,8418.4902,0.2346,4.4465,4.5489,0.1905,0.3133,0.2555,0.1882,5170.1564,0.3796,77.4747,3249.693,6.8355,0.1537,0.7192,0.7309,4.6687,7.4185,0.6008,0.5351,10759,188,1.7550198179653556,20531.9769,1-Average,1.0,TX
